"Родительская задача","Название","Описание","Чек-лист"
"","MVP-1. Платформа, НСИ, администрирование, обмен с АИС «Расчет-ЖКУ», реестры и карточки","Специалист организации входит в систему, видит только «свои» ЛС из выгрузки АИС «Расчет-ЖКУ», открывает карточку ЛС/договора, видит группу задолженности и рейтинг, может обновить данные по одному ЛС или получить ночное обновление. Разворачивается тестовый контур в среде Заказчика (срок ТЗ — 15.10.2026).

Разделы ТЗ: 4.1, 4.2.1, 4.2.2, 4.2.8, 4.2.9, 4.2.10.3, 4.4.4, 4.4.8

Пакеты работ:
- 1.1 Архитектура и инфраструктура
- 1.2 Модель данных
- 1.3 Каркас веб-интерфейса
- 1.4 Аутентификация, сессии и аудит доступа
- 1.5 Администрирование: организации, пользователи, роли, контуры доступа
- 1.6 НСИ (справочники)
- 1.7 Интеграция с АИС «Расчет-ЖКУ» (входящий поток)
- 1.8 Расчёт группы задолженности и рейтинга
- 1.9 Реестр задолженностей по ЛС
- 1.10 Карточка задолженности по ЛС
- 1.11 Реестр и карточка задолженностей по договорам (контур поставщика)","Все задачи этапа закрыты по DoD
Критерии приёмки ТЗ, относящиеся к этапу, пройдены на тестовом контуре
Демонстрация результата этапа Заказчику проведена
Замечания по этапу внесены в бэклог или закрыты"
"","MVP-2. Мероприятия и коммуникации, шаблоны, конструктор сценариев, задания","Система выполняет действия по долгу: рассылает e-mail, формирует пакет предупреждений в PDF, ставит и согласует задания на отключение услуг поставщику, прогоняет цепочки действий по сценариям и снимает меры при оплате. Появляется модуль заданий с панелью уведомлений.

Разделы ТЗ: 4.2.1.2, 4.2.3.1, 4.2.3.3–4.2.3.8, 4.2.5, 4.2.6, 4.2.10.7

Пакеты работ:
- 2.1 Ядро мероприятий и реестр мероприятий
- 2.2 Запуск мероприятий из реестра
- 2.3 Рассылка уведомлений по e-mail (SMTP)
- 2.4 Конструктор шаблонов сообщений
- 2.5 Конструктор шаблонов печатных форм
- 2.6 Предупреждения: формирование и вручение
- 2.7 Отключение (приостановление) услуг
- 2.8 Модуль «Задания»
- 2.9 Конструктор сценариев (триггеры и действия)
- 2.10 Сквозная автоматика при оплате и обратная выгрузка","Все задачи этапа закрыты по DoD
Критерии приёмки ТЗ, относящиеся к этапу, пройдены на тестовом контуре
Демонстрация результата этапа Заказчику проведена
Замечания по этапу внесены в бэклог или закрыты"
"","MVP-3. Воронка взыскания ЮС (нотариат, суд, ОПИ, списание) и автообзвон Asterisk","Рабочее место юриста: канбан воронки взыскания с чек-листами, исполнительные надписи, иски, ОПИ и подготовка списания — пока без автоинтеграций с нотариатом и Минюстом (документы и статусы вручную/сканами). Параллельно — массовый голосовой обзвон через Asterisk AMI.

Разделы ТЗ: 4.2.3.2, 4.2.4, 4.2.5.2, 4.2.10.6

Пакеты работ:
- 3.1 Воронка взыскания: канбан и чек-листы этапов
- 3.2 Справочники для претензионно-исковой работы
- 3.3 Исполнительная надпись (ручной контур)
- 3.4 Исковые заявления (ручной контур)
- 3.5 Органы принудительного исполнения (ручной контур)
- 3.6 Подготовка документов о списании безнадёжной задолженности
- 3.7 Расширение сценариев под ЮС
- 3.8 Автообзвон: доменная логика
- 3.9 Интеграция с телефонией Asterisk (AMI)
- 3.10 Информационная безопасность ПИР","Все задачи этапа закрыты по DoD
Критерии приёмки ТЗ, относящиеся к этапу, пройдены на тестовом контуре
Демонстрация результата этапа Заказчику проведена
Замечания по этапу внесены в бэклог или закрыты"
"","MVP-4. Отчёты и сводные показатели, внешние интеграции, ИБ и НФТ, документация и приёмка","Система готова к реальной работе пилотной организации: отчёты для руководства и дашборды, внешние интеграции подключаются по готовности сторон (без блокировки пилота), выполнены требования ИБ и НФТ, проведены нагрузочные и приёмочные испытания, подготовлена документация.

Разделы ТЗ: 4.2.7, 4.2.10.4, 4.2.10.5, 4.2.10.8, 4.2.11, 4.4, разделы 5–8

Пакеты работ:
- 4.1 Отчётный слой и общие механизмы отчётов
- 4.2 Отчёты о состоянии и динамике задолженности
- 4.3 Отчёты об эффективности мероприятий и работе пользователей
- 4.4 Анализ перманентности задолженности
- 4.5 Отчёты по этапам взыскания, тарифам, отключениям и списанию
- 4.6 Конструктор отчётов
- 4.7 Модуль «Сводные показатели» (дашборды и карта)
- 4.8 Интеграция с РУП «Белпочта»
- 4.9 Интеграция с Белорусской нотариальной палатой
- 4.10 Интеграция с АИС ПРИС / ОАИС (сервисы 3.11.01–3.11.05)
- 4.11 Модуль «Интеграции»: технические настройки и мониторинг
- 4.12 Информационная безопасность
- 4.13 Архивирование, резервное копирование, надёжность
- 4.14 Нагрузочное тестирование и НФТ
- 4.15 Документация
- 4.16 Тестовый сервер, испытания, пилот и приёмка","Все задачи этапа закрыты по DoD
Критерии приёмки ТЗ, относящиеся к этапу, пройдены на тестовом контуре
Демонстрация результата этапа Заказчику проведена
Замечания по этапу внесены в бэклог или закрыты"
"MVP-1. Платформа, НСИ, администрирование, обмен с АИС «Расчет-ЖКУ», реестры и карточки","M1-01-01 [1.1 Архитектура и инфраструктура] Архитектурное решение и декомпозиция на микросервисы [ТЗ 4.1, 4.4.8]","Подготовить документ архитектуры: состав микросервисов по модулям ТЗ (реестры, мероприятия, ПИР, сценарии, задания, отчёты, НСИ, администрирование, интеграции, сводные показатели), шина обмена (Kafka/RabbitMQ), API-шлюз (APISIX/KrakenD), service discovery (Eureka), кэш (Redis/Ignite), оркестрация регламентов (Airflow). Зафиксировать режимы функционирования: штатный, ночной обмен, ограниченная функциональность при недоступности АИС, аварийный.

Пункт ТЗ: 4.1, 4.4.8
Пакет работ: 1.1 Архитектура и инфраструктура
Фаза: Фаза 0. Фундамент — пункт чек-листа «Архитектура системы»
Макеты/артефакты:
- Основные документы/TZ_ERIP_v1_2_Сводный.docx
- Основные документы/План реализации проекта ЕРИП.docx","Документ архитектуры (C4: контекст, контейнеры) согласован тимлидом и Заказчиком
Для каждого модуля ТЗ 4.2.1–4.2.11 определён владелец-сервис и контракты API
Описаны 4 режима функционирования и поведение сервисов в каждом
Стек соответствует таблице ТЗ 4.4.8 (open source, PostgreSQL vanilla, Linux, x86-64)"
"MVP-1. Платформа, НСИ, администрирование, обмен с АИС «Расчет-ЖКУ», реестры и карточки","M1-01-02 [1.1 Архитектура и инфраструктура] Репозиторий, GitLab CI/CD и правила разработки [ТЗ 4.4.8]","Монорепозиторий или набор репозиториев в Git Заказчика, пайплайны GitLab CI: сборка, unit-тесты, статанализ, сборка контейнеров, публикация в registry, деплой в тестовый контур. Правила ветвления, code review, версионирование API.

Пункт ТЗ: 4.4.8
Пакет работ: 1.1 Архитектура и инфраструктура
Фаза: Фаза 0. Фундамент — пункт чек-листа «Репозиторий и CI/CD»
Макеты/артефакты:
- Основные документы/TZ_ERIP_v1_2_Сводный.docx","Исходный код хранится и собирается на стороне Заказчика
Пайплайн собирает все сервисы и фронтенд за один запуск
Merge в основную ветку невозможен без зелёного пайплайна и ревью
README с инструкцией локального запуска"
"MVP-1. Платформа, НСИ, администрирование, обмен с АИС «Расчет-ЖКУ», реестры и карточки","M1-01-03 [1.1 Архитектура и инфраструктура] Контейнеризация и манифесты развёртывания (Kubernetes/Podman) [ТЗ 4.4.3, 4.4.6, 4.4.8]","Dockerfile для каждого сервиса, манифесты развёртывания, конфигурация через переменные окружения и секреты, горизонтальное масштабирование stateless-сервисов, health/readiness-пробы.

Пункт ТЗ: 4.4.3, 4.4.6, 4.4.8
Пакет работ: 1.1 Архитектура и инфраструктура
Фаза: Фаза 0. Фундамент — пункт чек-листа «Контейнеризация»
Макеты/артефакты:
- Основные документы/TZ_ERIP_v1_2_Сводный.docx","Все сервисы стартуют в кластере одной командой из манифестов
Проверено масштабирование сервиса реестров до 2+ реплик без потери сессий
Пробы живости/готовности настроены, автоперезапуск при падении работает"
"MVP-1. Платформа, НСИ, администрирование, обмен с АИС «Расчет-ЖКУ», реестры и карточки","M1-01-04 [1.1 Архитектура и инфраструктура] PostgreSQL: кластер, схемы, миграции, отдельная архивная БД [ТЗ 4.4.6, 4.4.8, 4.4.11]","Развернуть PostgreSQL (vanilla) с репликацией, версионными миграциями схемы, отдельной базой для архивного («холодного») хранилища. Стратегия партиционирования крупных таблиц (начисления/остатки по периодам, история, аудит) под 1,5 млн ЛС.

Пункт ТЗ: 4.4.6, 4.4.8, 4.4.11
Пакет работ: 1.1 Архитектура и инфраструктура
Фаза: Фаза 0. Фундамент — пункт чек-листа «PostgreSQL и архивная БД»
Макеты/артефакты:
- Основные документы/TZ_ERIP_v1_2_Сводный.docx
- Протоколы встреч/ПРОТОКОЛ ВСТРЕЧИ 1.pdf","Миграции применяются автоматически в пайплайне
Архивная БД развёрнута отдельно от оперативной
Партиционирование таблиц истории/аудита описано и реализовано
Резервная копия и восстановление проверены на стенде"
"MVP-1. Платформа, НСИ, администрирование, обмен с АИС «Расчет-ЖКУ», реестры и карточки","M1-01-05 [1.1 Архитектура и инфраструктура] Централизованное логирование и мониторинг (ELK/OpenSearch, Prometheus, Grafana, AlertManager) [ТЗ 4.4.5]","Сбор логов всех сервисов в ELK/OpenSearch, метрики в Prometheus, дашборды Grafana (доступность, CPU/RAM, соединения, БД, очереди, регламентные задания), алерты. Хранение логов ≥12 мес., журналов запросов/событий ≥3 лет.

Пункт ТЗ: 4.4.5
Пакет работ: 1.1 Архитектура и инфраструктура
Фаза: Фаза 9. ИБ и НФТ — пункт чек-листа «Логирование и мониторинг»
Макеты/артефакты:
- Основные документы/TZ_ERIP_v1_2_Сводный.docx","Логи всех сервисов доступны в едином поиске с корреляционным ID запроса
Дашборд состояния системы и алерт «ночная загрузка не выполнена»
Политика хранения логов 12 мес./журналов 3 года настроена
Доступ к логам только у уполномоченных администраторов"
"MVP-1. Платформа, НСИ, администрирование, обмен с АИС «Расчет-ЖКУ», реестры и карточки","M1-01-06 [1.1 Архитектура и инфраструктура] Развёртывание тестового контура в среде Заказчика [ТЗ 5 (этап 2), 4.4.13, 7]","Подготовить и развернуть тестовый контур ПМ на площадке Заказчика (доступ разработчиков только на территории Заказчика, без VPN — протокол встречи №1, п. 7). Настроить доступ к тестовым выгрузкам АИС и тестовому Asterisk.

Пункт ТЗ: 5 (этап 2), 4.4.13, 7
Пакет работ: 1.1 Архитектура и инфраструктура
Фаза: Фаза 10. Приёмка — пункт чек-листа «Тестовый контур»
Макеты/артефакты:
- Основные документы/TZ_ERIP_v1_2_Сводный.docx
- Протоколы встреч/ПРОТОКОЛ ВСТРЕЧИ 1.pdf","Тестовый контур развёрнут и доступен пользователям Заказчика
Оформлен протокол готовности тестового контура (срок по ТЗ — 15.10.2026)
Описан регламент обновления стенда новыми версиями"
